Cumulative number of confirmed Ebola deaths,Sierra Leone,20150302,3164.0
Cumulative number of probable Ebola deaths,Sierra Leone,20150302,208.0
Cumulative number of suspected Ebola deaths,Sierra Leone,20150302,158.0
Cumulative number of confirmed probable and suspected Ebola cases,United Kingdom,20150302,1.0
Cumulative number of confirmed Ebola cases,Mali,20150302,7.0
Cumulative number of probable Ebola cases,Mali,20150302,1.0
Cumulative number of suspected Ebola cases,Mali,20150302,0.0
Cumulative number of confirmed probable and suspected Ebola deaths,Mali,20150302,6.0
Cumulative number of confirmed probable and suspected Ebola cases,Mali,20150302,8.0
Cumulative number of confirmed Ebola cases,Nigeria,20150302,19.0
Cumulative number of probable Ebola cases,Nigeria,20150302,1.0
Cumulative number of suspected Ebola cases,Nigeria,20150302,0.0
Cumulative number of confirmed probable and suspected Ebola cases,Nigeria,20150302,20.0
Cumulative number of confirmed Ebola cases,Senegal,20150302,1.0
Cumulative number of probable Ebola cases,Senegal,20150302,0.0
Cumulative number of suspected Ebola cases,Senegal,20150302,0.0
Cumulative number of confirmed probable and suspected Ebola cases,Senegal,20150302,1.0
Cumulative number of confirmed Ebola cases,Spain,20150302,1.0
Cumulative number of probable Ebola cases,Spain,20150302,0.0
Cumulative number of suspected Ebola cases,Spain,20150302,0.0
Cumulative number of confirmed probable and suspected Ebola cases,Spain,20150302,1.0
Cumulative number of confirmed Ebola cases,United States of America,20150302,4.0
Cumulative number of probable Ebola cases,United States of America,20150302,0.0
Cumulative number of suspected Ebola cases,United States of America,20150302,0.0
Cumulative number of confirmed probable and suspected Ebola cases,United States of America,20150302,4.0
Cumulative number of confirmed Ebola deaths,Nigeria,20150302,7.0
Cumulative number of probable Ebola deaths,Nigeria,20150302,1.0
Cumulative number of suspected Ebola deaths,Nigeria,20150302,0.0
Cumulative number of confirmed probable and suspected Ebola deaths,Nigeria,20150302,8.0
Cumulative number of confirmed Ebola deaths,Senegal,20150302,0.0
Cumulative number of probable Ebola deaths,Senegal,20150302,0.0
Cumulative number of suspected Ebola deaths,Senegal,20150302,0.0
Cumulative number of confirmed probable and suspected Ebola deaths,Senegal,20150302,0.0
Cumulative number of confirmed Ebola deaths,Spain,20150302,0.0
Cumulative number of probable Ebola deaths,Spain,20150302,0.0
Cumulative number of suspected Ebola deaths,Spain,20150302,0.0
Cumulative number of confirmed probable and suspected Ebola deaths,Spain,20150302,0.0
Cumulative number of confirmed Ebola deaths,United States of America,20150302,1.0
Cumulative number of probable Ebola deaths,United States of America,20150302,0.0
Cumulative number of suspected Ebola deaths,United States of America,20150302,0.0
Cumulative number of confirmed probable and suspected Ebola deaths,United States of America,20150302,1.0
Cumulative number of confirmed Ebola cases,United Kingdom,20150227,1.0
Cumulative number of probable Ebola cases,United Kingdom,20150227,0.0
Cumulative number of suspected Ebola cases,United Kingdom,20150227,0.0
Cumulative number of confirmed probable and suspected Ebola deaths,United Kingdom,20150227,0.0
Cumulative number of confirmed probable and suspected Ebola cases,Guinea,20150227,3190.0
Cumulative number of confirmed Ebola cases,Guinea,20150227,2790.0
Cumulative number of probable Ebola cases,Guinea,20150227,392.0
Cumulative number of suspected Ebola cases,Guinea,20150227,8.0
Cumulative number of confirmed probable and suspected Ebola deaths,Guinea,20150227,2113.0
Cumulative number of confirmed Ebola deaths,Guinea,20150227,1721.0
Cumulative number of probable Ebola deaths,Guinea,20150227,392.0
Cumulative number of confirmed probable and suspected Ebola cases,Liberia,20150227,9265.0
Cumulative number of confirmed Ebola cases,Liberia,20150227,3153.0
Cumulative number of probable Ebola cases,Liberia,20150227,1888.0
Cumulative number of suspected Ebola cases,Liberia,20150227,4224.0
Cumulative number of confirmed probable and suspected Ebola deaths,Liberia,20150227,4057.0
Cumulative number of confirmed probable and suspected Ebola cases,Sierra Leone,20150227,11370.0
Cumulative number of confirmed Ebola cases,Sierra Leone,20150227,8320.0
Cumulative number of probable Ebola cases,Sierra Leone,20150227,287.0
Cumulative number of suspected Ebola cases,Sierra Leone,20150227,2763.0
Cumulative number of confirmed probable and suspected Ebola deaths,Sierra Leone,20150227,3490.0
Cumulative number of confirmed Ebola deaths,Sierra Leone,20150227,3124.0
Cumulative number of probable Ebola deaths,Sierra Leone,20150227,208.0
Cumulative number of suspected Ebola deaths,Sierra Leone,20150227,158.0
Cumulative number of confirmed probable and suspected Ebola cases,United Kingdom,20150227,1.0
Cumulative number of confirmed Ebola cases,Mali,20150227,7.0
Cumulative number of probable Ebola cases,Mali,20150227,1.0
Cumulative number of suspected Ebola cases,Mali,20150227,0.0
Cumulative number of confirmed probable and suspected Ebola deaths,Mali,20150227,6.0
Cumulative number of confirmed probable and suspected Ebola cases,Mali,20150227,8.0
Cumulative number of confirmed Ebola cases,Nigeria,20150227,19.0
Cumulative number of probable Ebola cases,Nigeria,20150227,1.0
Cumulative number of suspected Ebola cases,Nigeria,20150227,0.0
Cumulative number of confirmed probable and suspected Ebola cases,Nigeria,20150227,20.0
Cumulative number of confirmed Ebola cases,Senegal,20150227,1.0
Cumulative number of probable Ebola cases,Senegal,20150227,0.0
Cumulative number of suspected Ebola cases,Senegal,20150227,0.0
